Aberdeen Maryland 21001 Maryland House Travel Plaza,0.787692839,0.62042
Aberdeen Washington 98520 Safeway - Aberdeen #1546,0.018779855,0.918968
Aberdeen Washington 98520 1202 Wishkah St- Aberdeen,0.019097355,0.919035
Aberdeen Washington 98520 Grays Harbor Haggens,0.019097355,0.919035
Abilene Texas 79605 Albertsons-Abilene #4237,0.406910823,0.3373648
Abilene Texas 79606 Buffalo Gap - Hwy. 83,0.406672548,0.33710284
Abingdon Maryland 21009 Target Abingdon T-1871,0.785455081,0.61887132
Absecon New Jersey 08205 Galloway,0.814946823,0.61897676
Accokeek Maryland 20607 Manokeek,0.773852613,0.58640084
Ada Michigan 49301 D - W-Woody's Market-Ada,0.637252339,0.75867292
Addison Texas 75001 Beltline - Marsh,0.45402471,0.35812204
Addison Texas 75001 Tom Thumb-Addison #2643,0.454218242,0.3582928
Addison Texas 75240 Quorum One,0.455007758,0.3573284
Agoura Hills California 91301 Vons-Agoura Hills #2001,0.100642113,0.4057404
Aiken South Carolina 29803 Kroger-Aiken #675,0.698104048,0.3795128
Airmont New York 10901 Suffern Airmont,0.820990355,0.68443736
Ajax Ontario L1Z 1G1 Durham   Chapters   Ajax,0.741801952,0.79441292
Akron Ohio 443101806 Chapel Hill Mall Kiosk,0.588395145,0.34784468
Akron Ohio 44312 Coventry Township  Arlington Rd,0.702636161,0.6812728
Akron Ohio 44313 Akron - West Market - Sand rd,0.700485806,0.684906
Akron Ohio 44313 Summit Mall,0.700393145,0.6864816
Akron Ohio 44325 U of Akron - Student Union,0.701386258,0.68336768
Akron Ohio 44333 Fairlawn,0.699413081,0.6874942
Alameda California 94501 South Shore Shopping Center,0.044317387,0.55026344
Alameda California 94501 Safeway - Alameda #2708,0.044192274,0.5508242
Alameda California 94501 Albertsons-Alameda #7031,0.044148081,0.550842
Alameda California 94501 Park Street - Central - Alameda,0.044148081,0.550842
Alameda California 94501 Webster - Atlantic - Alameda,0.044148081,0.550842
Alamo California 94507 Las Trampas - Danville- Alamo,0.048130355,0.5542214
Alamo California 94507 Safeway-Alamo #962,0.048130355,0.5542214
Alamosa Colorado 81101 Safeway-Alamosa #1681,0.308501468,0.5388804
Albany California 94706 Target Albany T-1926,0.043644855,0.5556218
Albany Georgia 31702 Phoebe Putney Memorial Hospital,0.658774371,0.3032304
Albany Georgia 31707 Phoebe Putney Medical Building,0.658105032,0.3035968
Albany New York 12203 Stuyvesant Plaza,0.825184532,0.7472986
Albany New York 12205 Wolfe Road,0.825217355,0.7488306
Albany New York 12207 North Pearl Street  COB,0.826621387,0.7462908
Albany Oregon 97321 Fred Meyer Santiam - Albany,0.030412452,0.82557204
Albany Oregon 97321 Safeway-Albany #1659,0.030412452,0.82557204
Albert Lea Minnesota 56007 Albert Lea-E M Frontage Rd-Prospect,0.510182113,0.7858932
Albuquerque New Mexico 87102 Hyatt Regency Alburquerque,0.295989855,0.4433662
Albuquerque New Mexico 87104 Rio Grande Blvd. - I-40,0.295416871,0.44422464
Albuquerque New Mexico 87106 3400 Central Avenue,0.29666271,0.44319652
Albuquerque New Mexico 87107 I-25 - Montano,0.296553806,0.4452094
